id,Name,Gender,Age,Section,Science,English,History,Maths,Python,NumPy,Pandas,ML,DL,NLP,Streamlit,Total,Grade
1,Bronnie,Female,13,C,21,81,62,49,78,71,65,61,76,45,43,439,B
2,Lemmie,Male,15,B,29,41,17,40,91,71,74,52,49,45,44,426,B
3,Danya,Female,14,C,12,87,16,96,68,63,89,98,49,94,95,556,A
4,Denna,Female,14,B,15,53,82,33,54,80,64,58,58,87,76,477,B
5,Jocelin,Male,14,A,43,6,3,21,82,91,63,88,56,43,47,470,B
6,Malissa,Female,14,C,98,51,85,76,47,88,52,75,60,69,81,472,B
7,Ichabod,Female,14,B,38,74,54,60,100,88,99,51,53,50,88,529,A
8,Beverlie,Male,14,B,25,51,41,80,60,97,97,100,48,69,67,538,A
9,Corrine,Male,15,A,39,16,22,49,78,91,46,80,85,70,70,520,A
10,Tate,Male,15,C,35,25,37,27,97,51,96,58,40,63,97,502,B
11,Dunn,Male,15,C,100,93,87,81,58,78,75,51,90,94,48,494,B
12,Valaria,Male,13,B,19,5,78,76,62,41,84,48,84,48,93,460,B
13,Merrick,Male,15,A,65,89,96,34,50,42,59,46,52,94,90,433,B
14,Gracie,Female,13,B,93,38,39,93,50,88,40,67,43,42,68,398,C
15,Missy,Female,13,B,98,18,84,74,63,76,47,53,40,90,53,422,B
16,Gilberta,Male,15,A,53,30,90,64,92,88,85,70,88,70,79,572,A
17,Peggy,Male,13,A,91,45,44,45,75,95,55,91,79,79,80,554,A
18,Dory,Female,13,B,5,89,25,23,79,56,53,58,71,76,61,454,B
19,Opalina,Female,13,B,62,77,75,72,63,98,51,97,73,75,50,507,B
20,Ashlan,Male,13,B,41,6,17,3,42,88,90,86,67,63,62,498,B
21,Amery,Male,13,A,76,96,67,17,61,41,62,55,70,70,40,399,C
22,Benoite,Male,14,B,3,55,14,90,92,41,54,92,47,45,85,456,B
23,Merle,Female,13,C,5,83,19,39,41,67,67,44,78,41,76,414,C
24,Valma,Female,14,C,48,83,79,95,63,93,73,74,65,59,60,487,B
25,Jone,Male,14,A,17,87,16,50,83,62,41,51,97,67,65,466,B
26,Rae,Female,15,A,16,59,18,64,69,76,71,64,73,50,85,488,B
27,Charmine,Female,14,A,93,93,83,40,77,71,62,91,93,43,75,512,B
28,Hanan,Male,14,A,60,36,86,87,41,72,61,98,93,54,93,512,B
29,Adrian,Male,13,C,19,8,76,75,99,40,90,60,42,45,62,438,B
30,Livia,Male,13,C,95,65,25,91,60,58,64,75,98,93,96,544,A
31,Richie,Female,15,B,14,83,9,90,72,41,97,92,89,88,40,519,B
32,Ekaterina,Female,15,B,17,36,45,27,51,92,100,62,51,69,93,518,B
33,Tamra,Female,14,C,17,74,11,49,97,83,61,55,40,95,94,525,A
34,Zarla,Female,15,B,54,18,46,17,61,65,97,96,93,77,90,579,A
35,Tommy,Female,13,B,5,75,13,61,100,71,97,78,83,90,79,598,A
36,Anna-diane,Female,15,C,93,53,10,29,83,45,61,84,44,96,54,467,B
37,Josh,Female,14,A,54,23,19,94,64,71,88,92,69,41,60,485,B
38,Claudina,Male,14,C,90,62,45,21,88,94,91,81,69,54,86,563,A
39,Adah,Female,13,A,71,90,78,35,66,43,81,97,98,50,48,483,B
40,Luelle,Male,13,B,100,52,89,76,98,94,45,78,96,47,92,550,A
41,Johannes,Female,15,C,10,78,56,41,81,50,54,53,56,65,48,407,C
42,Hetty,Female,13,B,21,89,72,84,67,95,93,70,87,90,49,551,A
43,Brandie,Male,15,B,43,2,17,78,99,98,82,97,86,84,91,637,A
44,Arvie,Female,15,B,26,46,81,63,55,56,99,44,62,83,96,495,B
45,Jacenta,Male,15,C,65,7,57,27,54,77,76,74,54,44,92,471,B
46,Teddy,Male,14,A,50,22,50,78,86,63,72,62,76,45,65,469,B
47,Everett,Female,14,A,84,57,25,57,90,44,47,68,60,65,80,454,B
48,Lyda,Female,15,C,78,58,1,33,83,91,92,82,53,93,74,568,A
49,Vinny,Male,13,B,81,25,99,13,94,73,99,50,41,43,91,491,B
50,Karrie,Male,14,A,94,15,66,34,91,45,83,57,50,58,64,448,B
51,Skipp,Male,14,C,31,37,77,79,96,61,83,86,90,59,65,540,A
52,Rollie,Female,13,A,17,99,29,85,42,50,44,51,78,72,50,387,C
53,Ruben,Female,15,B,15,84,40,40,76,87,78,48,77,59,77,502,B
54,Tabbie,Male,15,C,23,44,76,46,90,55,43,49,99,88,41,465,B
55,Lief,Male,15,B,55,64,56,69,46,72,45,97,73,51,46,430,B
56,Olenka,Female,14,B,53,53,49,43,60,48,84,83,77,86,57,495,B
57,Hinze,Male,15,A,46,37,63,17,48,99,71,56,89,40,66,469,B
58,Issie,Male,14,A,64,1,74,6,78,98,91,100,73,65,73,578,A
59,Yardley,Female,14,C,41,37,26,65,57,45,69,77,57,53,66,424,B
60,Winslow,Female,14,B,61,71,77,64,43,55,86,46,69,77,56,432,B
61,Bobbee,Female,14,C,16,57,90,14,64,68,74,85,54,76,82,503,B
62,Fanny,Female,13,C,49,90,13,98,99,42,94,52,66,50,98,501,B
63,Massimiliano,Male,14,A,16,45,44,5,53,59,79,79,90,75,83,518,B
64,Shannon,Male,15,B,78,74,31,85,89,99,91,81,73,52,98,583,A
65,Mufi,Female,14,C,88,72,31,27,97,98,55,48,91,82,90,561,A
66,Christan,Female,14,C,85,6,10,85,48,75,52,89,96,42,93,495,B
67,Orrin,Female,15,C,45,41,26,12,65,58,89,66,77,72,63,490,B
68,Drusi,Male,15,C,39,7,100,70,92,65,99,97,72,45,64,534,A
69,Nil,Female,15,A,84,97,70,96,41,42,81,41,63,89,46,403,C
70,Jessamine,Female,14,B,34,71,35,47,59,58,69,44,54,95,91,470,B
71,Bil,Female,15,C,95,32,91,48,67,59,58,68,99,49,45,445,B
72,Jaymie,Male,14,C,48,59,60,58,86,71,56,76,69,44,92,494,B
73,Lorrie,Male,13,A,72,78,40,78,99,46,95,77,94,62,63,536,A
74,Bethena,Male,13,B,46,89,83,64,46,91,58,58,81,49,72,455,B
75,Sascha,Female,13,B,85,10,62,62,83,80,67,47,90,83,88,538,A
76,Cherie,Male,15,C,32,31,89,30,100,72,97,87,56,41,68,521,A
77,David,Female,13,B,27,2,63,100,47,79,94,84,44,52,82,482,B
78,Jody,Male,15,B,87,45,73,48,86,78,65,40,68,79,61,477,B
79,Rosalynd,Male,13,C,27,96,89,49,74,57,76,61,43,41,65,417,C
80,Elton,Male,13,B,13,18,80,82,53,79,65,91,49,59,67,463,B
81,Teresita,Male,15,A,1,90,42,94,56,40,92,56,95,40,89,468,B
82,Dannel,Male,15,C,84,85,14,24,75,50,62,46,56,76,60,425,B
83,Amabel,Male,14,A,59,12,45,64,89,67,48,64,49,48,88,453,B
84,Eugine,Male,13,C,34,18,39,94,79,96,51,84,56,56,46,468,B
85,Brien,Female,13,C,36,95,55,46,43,64,92,43,99,48,56,445,B
86,Agace,Male,15,C,17,75,8,71,41,89,40,75,59,50,59,413,C
87,Aubrey,Female,13,A,8,72,78,14,45,62,97,45,63,54,80,446,B
88,Sheffie,Female,15,C,44,55,51,100,93,70,97,99,44,63,88,554,A
89,Ranee,Female,15,A,58,16,64,67,81,69,40,70,73,77,59,469,B
90,Cobby,Male,15,C,64,20,86,84,43,81,86,58,45,94,93,500,B
91,Linn,Male,13,C,23,2,42,43,93,74,73,100,92,74,61,567,A
92,Daffi,Female,15,A,79,82,99,81,68,46,71,83,41,69,67,445,B
93,Morganne,Female,15,A,22,86,9,38,57,99,93,93,52,70,100,564,A
94,Dael,Female,13,A,43,65,18,26,65,55,87,78,82,88,79,534,A
95,Ario,Male,14,A,64,18,73,37,83,65,64,66,82,44,88,492,B
96,Georgia,Female,15,A,58,10,99,44,73,87,79,49,87,99,46,520,A
97,Adolphus,Male,13,A,19,98,13,86,49,96,84,65,50,83,40,467,B
98,Silvia,Male,14,A,40,61,63,80,75,91,92,58,90,89,71,566,A
99,Brendin,Male,14,C,72,51,50,11,53,99,40,78,86,53,52,461,B
100,Loella,Female,15,A,66,20,76,30,70,88,55,42,96,92,69,512,B
101,Hildegaard,Male,14,A,64,68,89,43,87,41,100,84,62,95,62,531,A
102,Alvin,Female,13,B,80,28,53,67,54,40,78,52,94,50,90,458,B
103,Christoph,Female,13,C,2,19,48,52,47,87,44,89,55,48,98,468,B
104,Woodie,Male,15,A,37,57,48,75,53,51,61,67,70,73,95,470,B
105,Jeannie,Male,13,B,68,97,31,48,62,44,68,97,50,51,58,430,B
106,Jocelyne,Female,14,C,62,4,75,32,99,76,94,59,93,74,71,566,A
107,Rina,Female,14,C,57,68,13,74,96,71,42,67,55,74,69,474,B
108,Virgie,Female,14,B,56,75,5,40,79,98,51,47,47,40,68,430,B
109,Vaughn,Male,14,C,11,30,83,17,60,94,65,100,43,79,88,529,A
110,Cherry,Female,14,B,82,54,31,18,55,48,55,80,79,61,84,462,B
111,Abel,Male,13,A,2,39,13,69,84,80,90,78,43,99,68,542,A
112,Matt,Female,15,A,23,65,72,51,57,74,76,40,95,68,69,479,B
113,Josefa,Male,13,C,22,78,77,26,86,58,61,42,64,47,55,413,C
114,Coretta,Male,14,A,41,52,29,21,92,87,96,52,42,50,79,498,B
115,Chris,Female,13,C,23,13,28,69,63,55,68,67,71,80,58,462,B
116,Shanie,Male,14,A,80,92,53,30,65,42,53,96,42,76,57,431,B
117,Kath,Male,14,A,63,74,46,76,64,59,67,99,66,53,40,448,B
118,Bent,Female,14,B,90,22,2,12,99,63,44,88,68,99,53,514,B
119,Aretha,Female,13,C,2,60,67,29,99,93,86,64,71,69,90,572,A
120,Alyse,Male,14,A,80,34,85,71,99,95,88,95,89,74,86,626,A
121,Patrizia,Male,13,A,79,88,96,93,84,72,69,72,100,60,89,546,A
122,Gloria,Male,14,C,4,37,50,47,80,63,85,77,97,76,41,519,B
123,Brandise,Male,13,A,18,100,39,8,68,91,91,92,90,44,93,569,A
124,Orin,Female,15,B,70,75,21,99,54,50,44,45,58,58,67,376,C
125,Fredric,Male,14,B,68,20,21,81,84,88,51,97,60,98,88,566,A
126,Pat,Male,15,A,29,6,43,85,40,47,55,83,44,53,89,411,C
127,Bennie,Male,14,B,76,36,32,47,64,75,65,84,57,65,69,479,B
128,Starlin,Female,14,C,3,31,34,45,46,77,65,71,67,43,77,446,B
129,Susy,Female,15,B,28,94,61,72,48,79,87,84,81,64,90,533,A
130,Eadmund,Female,13,A,23,88,90,68,63,59,60,100,100,84,43,509,B
131,Blisse,Female,15,B,85,30,50,2,40,74,78,86,61,81,40,460,B
132,Tymothy,Male,13,C,13,73,76,95,83,87,75,60,60,64,47,476,B
133,Lindsay,Male,15,A,19,14,43,68,47,64,72,55,45,57,68,408,C
134,Jehanna,Female,15,C,77,25,85,26,63,74,69,93,40,79,94,512,B
135,Humfrid,Female,13,B,96,100,42,62,50,64,76,60,44,47,78,419,C
136,Hector,Female,13,C,5,10,75,38,90,68,62,50,80,78,42,470,B
137,Ailene,Female,15,C,52,39,37,3,56,57,97,99,51,79,71,510,B
138,Berget,Male,13,C,10,29,21,13,47,85,49,76,65,53,49,424,B
139,Bevan,Male,13,B,52,62,44,10,74,57,93,75,85,71,49,504,B
140,Ricky,Female,13,B,21,65,90,4,74,41,44,74,73,90,58,454,B
141,Isidora,Male,15,C,52,30,14,24,72,93,75,58,88,100,85,571,A
142,Emmanuel,Female,14,B,77,79,92,36,98,74,73,59,53,77,73,507,B
143,Cristian,Male,13,B,5,3,97,84,44,55,91,96,65,72,99,522,A
144,Guido,Female,13,C,63,12,69,41,81,100,70,57,84,62,72,526,A
145,Alis,Male,15,A,76,53,32,69,78,80,49,86,66,54,62,475,B
146,Brien,Female,15,B,43,4,40,93,97,75,97,80,48,72,94,563,A
147,Jaquenette,Male,15,C,33,75,98,84,80,72,58,88,65,64,67,494,B
148,Danni,Female,13,B,92,67,13,25,67,43,97,53,96,56,71,483,B
149,Adrianne,Female,15,C,51,67,67,91,46,72,71,54,86,72,89,490,B
150,Inger,Female,13,B,53,95,75,81,48,53,40,70,96,86,46,439,B
151,Herold,Male,13,A,92,97,62,69,47,60,95,40,61,94,68,465,B
152,Candide,Female,15,A,26,76,56,75,51,87,44,92,86,41,47,448,B
153,Susi,Male,13,A,23,41,49,79,73,59,84,93,95,53,40,497,B
154,Milo,Female,14,A,47,16,55,21,72,95,43,93,69,92,96,560,A
155,Emlyn,Male,14,C,32,3,69,96,87,47,55,42,82,79,94,486,B
156,Sarah,Female,13,B,55,99,8,72,94,46,63,55,87,79,42,466,B
157,Paten,Male,15,C,67,88,41,8,62,42,55,62,100,90,63,474,B
158,Aldin,Female,13,C,72,24,83,62,63,56,94,96,56,78,62,505,B
159,Reagan,Male,14,A,73,71,87,30,76,72,41,50,65,90,98,492,B
160,Patty,Male,14,B,61,89,70,68,74,87,88,51,75,45,100,520,A
161,Barde,Female,15,C,58,25,23,39,83,51,67,49,40,45,47,382,C
162,Pepi,Female,13,A,100,64,16,20,79,98,71,71,47,42,93,501,B
163,Page,Male,15,B,44,47,43,55,61,90,66,55,88,46,96,502,B
164,Alard,Female,13,A,91,12,15,70,66,61,59,47,74,90,86,483,B
165,Fidelia,Female,15,C,35,39,61,9,74,94,63,77,100,47,76,531,A
166,Hali,Male,13,C,67,21,60,40,40,61,51,51,91,81,42,417,C
167,Keeley,Male,15,C,84,8,71,48,74,85,89,63,54,91,90,546,A
168,Dory,Female,13,B,23,5,39,42,76,69,74,67,86,54,72,498,B
169,Ilaire,Male,14,C,95,56,4,100,86,77,99,92,95,86,67,602,A
170,Ermina,Female,15,B,38,17,76,26,53,77,72,47,61,68,86,464,B
171,Fran,Female,15,B,34,74,83,81,42,84,72,97,53,72,47,467,B
172,Desmund,Male,14,A,86,92,8,62,40,90,100,67,65,91,73,526,A
173,Rosamond,Male,15,C,55,62,57,56,44,93,90,75,67,69,74,512,B
174,Margaux,Male,14,A,94,28,6,9,65,47,82,65,62,78,71,470,B
175,Shalom,Female,14,B,63,9,91,88,94,66,76,47,53,66,63,465,B
176,Ivan,Male,14,C,95,21,51,33,53,66,51,97,63,75,53,458,B
177,Guntar,Male,13,B,92,36,59,48,78,73,42,99,41,68,71,472,B
178,Moselle,Female,15,A,87,39,48,53,66,60,40,89,84,77,95,511,B
179,Val,Male,13,B,95,73,91,61,48,69,72,67,65,96,85,502,B
180,Amber,Female,15,C,32,5,53,49,54,72,79,67,53,72,82,479,B
181,Davidde,Male,13,C,98,100,23,84,54,67,49,76,98,100,55,499,B
182,Richard,Male,13,A,62,42,87,51,65,86,82,80,95,76,43,527,A
183,Sebastian,Female,15,A,60,42,49,25,81,72,83,75,90,66,91,558,A
184,Billie,Female,13,C,53,37,83,64,99,44,68,66,46,94,76,493,B
185,Purcell,Male,14,B,75,14,54,68,52,99,52,93,42,72,93,503,B
186,Alaine,Male,15,A,48,2,63,91,90,100,51,56,86,43,60,486,B
187,Goldarina,Male,14,A,27,11,18,92,71,87,70,48,62,61,53,452,B
188,Ruperto,Female,14,B,60,55,30,83,78,58,85,72,85,41,70,489,B
189,Oberon,Female,15,C,87,21,41,24,88,43,41,92,82,49,94,489,B
190,Ezekiel,Male,13,A,14,6,29,72,91,74,100,59,86,44,87,541,A
191,Estel,Male,14,C,38,66,53,32,100,88,90,52,99,98,57,584,A
192,Jayme,Male,13,B,39,14,77,53,71,56,89,67,84,49,46,462,B
193,Hebert,Male,15,A,50,48,13,15,43,83,74,87,57,72,49,465,B
194,Olivia,Female,13,B,48,4,79,76,69,67,62,68,97,93,46,502,B
195,Darya,Male,15,C,13,35,71,30,76,69,56,52,77,77,72,479,B
196,Nita,Male,14,A,92,57,31,75,62,68,65,85,74,52,62,468,B
197,Elbertina,Female,14,A,82,4,56,22,78,85,47,74,90,70,60,504,B
198,Carol,Female,14,B,98,13,35,4,84,92,68,100,54,86,58,542,A
199,Codi,Male,14,C,30,62,32,60,54,45,65,45,64,75,87,435,B
200,Codi,Female,15,A,57,68,56,23,82,74,49,57,94,84,100,540,A
201,Ruddie,Female,15,B,84,97,88,64,68,99,65,90,76,63,58,519,B
202,Baudoin,Male,14,C,89,59,33,91,75,80,73,44,67,91,75,505,B
203,Norri,Male,14,B,45,21,61,13,52,76,90,86,49,95,68,516,B
204,Nealon,Male,14,B,84,10,71,8,71,63,80,64,78,54,99,509,B
205,Willem,Female,13,C,7,47,39,16,46,68,46,41,96,68,57,422,B
206,Rosalyn,Male,15,C,54,89,59,88,98,88,43,49,56,47,41,422,B
207,Fannie,Male,14,C,49,48,81,44,90,85,97,95,78,44,40,529,A
208,Davis,Male,13,A,56,12,75,96,61,92,92,69,61,68,86,529,A
209,Zenia,Female,14,C,59,94,94,47,67,70,89,89,65,86,44,510,B
210,Alasteir,Male,13,A,7,29,30,23,41,74,84,98,83,43,59,482,B
211,Vivyan,Male,14,A,28,30,80,33,81,99,50,84,64,51,50,479,B
212,Reg,Male,15,A,85,8,88,82,84,72,68,44,56,84,81,489,B
213,Evangelin,Male,15,C,63,92,38,60,96,91,95,94,52,41,41,510,B
214,Tucky,Female,15,A,87,17,94,41,92,100,75,95,59,66,42,529,A
215,Betteann,Male,13,C,68,79,71,41,45,60,64,72,64,70,62,437,B
216,Elyn,Male,15,A,5,86,48,57,67,71,60,93,43,90,94,518,B
217,Kirk,Female,14,A,71,88,44,13,67,62,100,40,49,90,51,459,B
218,Zack,Male,13,B,72,46,40,90,83,72,96,57,42,75,59,484,B
219,Buffy,Male,14,C,58,60,7,90,83,42,75,71,80,75,44,470,B
220,Tammy,Male,13,B,81,63,16,62,59,57,49,86,84,65,76,476,B
221,Ericka,Male,14,A,6,53,71,21,69,64,76,88,57,82,77,513,B
222,Natty,Female,13,A,60,52,85,39,50,81,48,50,86,66,69,450,B
223,Leda,Female,15,B,92,76,72,71,97,70,63,60,75,44,48,457,B
224,Tabbi,Female,13,A,100,95,36,10,94,93,74,65,86,59,73,544,A
225,Romonda,Female,13,C,84,10,82,93,67,97,88,64,61,50,92,519,B
226,Blake,Female,15,B,16,4,49,1,64,42,74,61,73,49,83,446,B
227,Josepha,Female,14,C,22,26,1,28,78,79,87,98,86,79,74,581,A
228,Maureene,Female,14,B,78,63,62,38,72,85,75,66,47,77,91,513,B
229,Ginnifer,Female,14,C,4,15,6,32,40,63,57,88,79,45,97,469,B
230,Kent,Male,15,C,15,26,83,75,96,89,88,52,88,47,61,521,A
231,Stillman,Male,15,B,50,70,31,98,66,71,78,72,83,62,83,515,B
232,Maude,Male,13,A,81,45,22,36,96,86,71,73,58,86,63,533,A
233,Alysa,Male,14,B,65,32,67,35,91,61,63,80,81,65,56,497,B
234,Mortimer,Male,15,C,91,33,71,81,52,62,62,74,80,85,49,464,B
235,Fleming,Male,13,C,31,9,79,54,80,41,71,40,76,82,69,459,B
236,Nadia,Female,15,B,98,30,37,56,42,66,76,60,45,51,95,435,B
237,Britt,Male,15,C,92,87,38,53,78,81,51,87,91,65,98,551,A
238,Lazar,Female,15,A,54,34,66,97,45,41,88,94,65,52,85,470,B
239,Ashlin,Female,14,A,49,47,19,55,47,65,94,45,73,79,62,465,B
240,Raimund,Male,15,C,2,4,48,46,66,56,52,67,98,57,71,467,B
241,Claudell,Male,14,C,76,15,70,35,48,79,62,56,95,64,56,460,B
242,Janey,Male,15,C,3,49,67,96,76,72,64,44,98,72,89,515,B
243,Morrie,Female,13,B,17,24,41,21,72,48,74,70,84,86,90,524,A
244,Domingo,Male,13,C,95,63,65,71,90,82,80,44,45,79,56,476,B
245,Jesselyn,Female,15,C,11,53,15,13,81,93,69,77,76,99,53,548,A
